Timestamp,Email Address,Full Name,Email Address,Phone Number,Primary Email,Gmail Account,Phone Number,Have you worked on a project with Epic Intentions in the past?,Year,T-Shirt Size (Adult Sizes),Major,Concentration within Major (if applicable),Minor/Certificate,Why are you interested in joining Epic Intentions (2-4 sentences)?,Can you attend the meetings listed?,If you cannot make the 5pm meeting time: How will you contribute to your team and prioritize Epic Intentions to keep up with meetings missed?,Please confirm that you will be able to attend the Epic Intentions Workathon on March 2nd from 12PM-5PM.,In which semesters have you participated in Epic Intentions? ,What types of projects have you done with Epic Intentions?,Draw Change,Agape Youth and Family Center,Africa House,Southface,Camp Kudzu,La Amistad,Giving Kitchen,WonderRoot,Rebuilding,How many hours per week could you dedicate to this project?,Business and Analytics,Computer Science,Please list any skills that have not been mentioned previously.,"Please describe any experience you have working on a team or individual project, such as through research or any other similar endeavor",Please describe any consulting experience you have.,Are you interested in being a Team Leader?,How did you hear about Epic Intentions? ,What are you passionate about?,"What personal skills, experience, knowledge, or resources can you contribute to Epic Intentions, and how will that help you make you a good Team Leader?","How will you prioritize Epic Intentions over other responsibilities that you have (work, school, other organizations)?",Which projects are you interested in leading? ,"Interview slot availability for Friday, January 18th","Interview slot availability for Saturday, January 19th","If these days don't work for you, please list your availability for an interview earlier than Saturday, January 19th"
1/8/2019 19:25:28,email@gatech.edu,Rosemarie Hunt,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,Yes,First year,M,Aerospace Engineering,,,Progress through service is my motto. Personal information that doesn’t need to be public.,"No, I have class","I will perform all of my assigned work on time as I did without issue last semester as well as attending and fully participating in the other meetings held outside of the 5pm meeting time. Last semester, I also had class during the 5pm meetings and it did not inhibit my ability to be fully involved in the project, so I feel that it will not become an issue",Yes,Fall 2018,Mapping,"Mildly interested to be placed on this project (still willing, but last choice)","VERY interested (willing, excited, and top choice)",Interested (willing and excited),Interested (willing and excited),"Mildly interested (still willing, but last choice)",Interested (willing and excited),"Mildly interested (still willing, but last choice)",Interested (willing and excited),"Mildly interested (still willing, but last choice)",5:00:00,"Data Analytics, Statistics, Technical Writing, Persuasive Writing, Social Media, Interviewing","MATLAB, ARCgis","I am proficient in Solidworks and Microsoft Office, and I also have leadership experience from various roles throughout high school",Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,Previous participation as well at the GT student activities page,,,,,,,
1/17/2019 23:34:08,email@gatech.edu,Paulette Martin,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,S,Aerospace Engineering,,,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations","If I am ever unable to make the meeting time, I would hope to have done my part already, depending on what we are required to do. If possible, I would contact the team ahead of time and discuss my part and any concerns I may have before hand. I would not want others to have to carry a larger burden due to my inability to attend a meeting. ",Yes,,,Interested to be placed on this project (willing and excited),"VERY interested (willing, excited, and top choice)",Interested (willing and excited),"VERY interested (willing, excited, and top choice)",Interested (willing and excited),"Mildly interested (still willing, but last choice)","VERY interested (willing, excited, and top choice)",Interested (willing and excited),Interested (willing and excited),5:00:00,"Project Management, Photoshop, Marketing Strategies, Persuasive Writing, Social Media, Grant Writing","Python, Android Studio, MATLAB","I have a variety of technical skills, mainly with machines given that I was an avid member of a robotics team for five years.",Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,"I heard about Epic Intentions through an email, but also through many of my friends who were also interested, too.",,,,,,,
1/8/2019 15:08:13,email@gatech.edu,Albert Gross,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,Yes,Third year,M,BA,Operations,,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,Fall 2018,Web Development,NOT interested to be placed on this project,NOT interested,"VERY interested (willing, excited, and top choice)",NOT interested,Interested (willing and excited),"VERY interested (willing, excited, and top choice)","VERY interested (willing, excited, and top choice)","Mildly interested (still willing, but last choice)",NOT interested,3:00:00,"Project Management, Visual Design, SWAT Analysis, Finances, Interviewing, Competitive Positioning Analysis","Python, HTML, CSS, SQL",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,Yes,,,,,,,,
1/8/2019 19:06:26,email@gatech.edu,Austin Watts,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,Third year,M,Biochemistry ,Pre-Health,,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,"Mildly interested to be placed on this project (still willing, but last choice)",NOT interested,NOT interested,"VERY interested (willing, excited, and top choice)",Interested (willing and excited),"VERY interested (willing, excited, and top choice)",NOT interested,NOT interested,NOT interested,5:00:00,"Project Management, Marketing Strategies, Finances, Technical Writing, Persuasive Writing, Social Media, Canva, Interviewing","I have some skills in HTML and CSS, but I could use more work. ",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,Facebook Event ,,,,,,,
1/7/2019 13:55:33,email@gatech.edu,Sherry Harrington,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,Second year,M,Biology,,,Progress through service is my motto. Personal information that doesn’t need to be public.,"No, I have class",I will make sure to get information from my team leader about projects and what my responsibilities are. I will contribute to my team outside of meeting times. ,Yes,,,Interested to be placed on this project (willing and excited),NOT interested,NOT interested,"Mildly interested (still willing, but last choice)",Interested (willing and excited),"Mildly interested (still willing, but last choice)",Interested (willing and excited),NOT interested,NOT interested,4:00:00,"Visual Design, Social Media, Filming",Python,n/a,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,A member,,,,,,,
1/16/2019 0:02:22,email@gatech.edu,Edwin Chambers,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,Second year,M,Biomedical Engineering,,Spanish,Progress through service is my motto. Personal information that doesn’t need to be public.,"No, I have class","I will communicate with my team to ensure that we are in sync and that I am on track with my responsibilities relating to the project. I will also dedicate extra time on my own to make up for time lost during the meetings. (Also, if possible and depending on meeting duration, I could arrive late to meetings; my class ends at 5:20 and is in Skiles.)",Yes,,,"Mildly interested to be placed on this project (still willing, but last choice)",Interested (willing and excited),"Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)",Interested (willing and excited),"VERY interested (willing, excited, and top choice)",Interested (willing and excited),Interested (willing and excited),"Mildly interested (still willing, but last choice)",10:00:00,"Statistics, Technical Writing, Persuasive Writing, Social Media",MATLAB,"Proficient in Spanish, strong math/science skills, strategic/logical thinking skills, creative skills.",Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,,,,,,,,
1/17/2019 23:22:33,email@gatech.edu,Jenny Kelley,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,M,Biomedical Engineering,,International Affairs potentially,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,"I have a sorority regional conference at Clemson University that weekend, so I may have to leave early from this event in that case.",,,"Mildly interested to be placed on this project (still willing, but last choice)","Mildly interested (still willing, but last choice)",NOT interested,Interested (willing and excited),Interested (willing and excited),NOT interested,Interested (willing and excited),"VERY interested (willing, excited, and top choice)",NOT interested,5:00:00,"Project Management, Finances, Technical Writing, Persuasive Writing, Social Media",,"Public Speaking, Fundraising, Teamwork, Research Skills, Scientific Presentation, Leadership",Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,Facebook group,,,,,,,
1/17/2019 19:00:07,email@gatech.edu,Darrin Ruiz,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,S,Biomedical Engineering ,,Spanish,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,Interested to be placed on this project (willing and excited),Interested (willing and excited),Interested (willing and excited),Interested (willing and excited),Interested (willing and excited),"VERY interested (willing, excited, and top choice)",Interested (willing and excited),"VERY interested (willing, excited, and top choice)","VERY interested (willing, excited, and top choice)",5:00:00,"Statistics, Wordpress, Visual Design, Marketing Strategies, Finances, Technical Writing, Persuasive Writing, Social Media, Canva, Filming, Interviewing","Python, Java",I am an intermediate Spanish speaker.,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,A friend,,,,,,,
1/12/2019 12:59:33,email@gatech.edu,Debra Ingram,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,Yes,First year,M,BME,,Computational Data Science,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,Fall 2018,Database,NOT interested to be placed on this project,"VERY interested (willing, excited, and top choice)","Mildly interested (still willing, but last choice)",NOT interested,NOT interested,NOT interested,"Mildly interested (still willing, but last choice)",Interested (willing and excited),NOT interested,5:00:00,"Statistics, Business Development, Wordpress, Database Management, Technical Writing, Persuasive Writing, Canva","Swift (iOS development), Java, MATLAB",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,Grand Challenges sent out an email last semester advertising this club. ,,,,,,,
1/8/2019 17:55:48,email@gatech.edu,Luther Norman,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,Yes,Second year,S,Business Administration,Strategy & Innovation,"Marketing, Business Analytics",Progress through service is my motto. Personal information that doesn’t need to be public.,"No, I have class","Excluding class, I have a relatively flexible schedule that I will adjust to fit the needs of my team. I plan on talking with my teachers if there are any meetings that I need to make and doing my best to be excused from class. I know others within the organization who can keep me up-to-date on everything that happens on Wednesdays and will reach out if I run into any trouble or have questions.",Yes,Fall 2018,"Marketing, Strategy",NOT interested to be placed on this project,,"Mildly interested (still willing, but last choice)",Interested (willing and excited),"Mildly interested (still willing, but last choice)",NOT interested,"VERY interested (willing, excited, and top choice)","Mildly interested (still willing, but last choice)","VERY interested (willing, excited, and top choice)",9:12:42,"Data Analytics, Statistics, Business Development, Project Management, Wordpress, Visual Design, Photoshop, Marketing Strategies, Accounting, Technical Writing, Persuasive Writing, Social Media, Canva, Professional Video Editing, Filming, Interviewing, Competitive Positioning Analysis","Python, HTML, CSS, R","Photography, Adobe Lightroom, FinalCut Pro, Business Strategy",Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,Yes,,,,,,,,
